Fx,Fy,Fz,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15
0.0,0.0,0.0,4448.50408016915,4453.5739237217385,4450.537928920457,4444.4990097245745,4444.50022405877,4444.627626235665,4444.38183505336,4444.2121418578745,4443.925514549245,4443.28205564735,4443.319192401229,4443.212701815531,4443.188138257151,4443.183552956775,4443.170851116268
0.0,0.25,0.0,4446.305357859387,4452.176966938773,4449.555631174255,4444.352711908494,4444.3472260894505,4445.134296715494,4443.3146708197955,4443.117687266385,4443.2852896181075,4442.937581322751,4443.003893346316,4442.815376907482,4442.820621505748,4442.88517893656,4442.776892642567
0.0,0.5,0.0,4435.107138290521,4437.6359494570825,4436.580905989789,4433.649462618405,4437.521452392955,4433.842941871819,4433.484462587293,4433.634558139636,4433.526302985963,4433.292704068023,4433.194862322626,4433.13039708187,4433.1148438994405,4433.1133674548655,4433.068439783942
0.0,0.75,0.0,4428.827904457373,4446.084839121548,4424.9047393200435,4433.708882764769,4426.325180264802,4421.359235421116,4422.136132985744,4420.937757375926,4420.200324833207,4420.060080594138,4419.897787723869,4419.625117310615,4419.545912083892,4419.267667345164,4419.325581240596
0.0,1.0,0.0,4427.095661505578,4415.288226687895,4407.1822639157235,4407.259812058774,4407.236066613758,4405.76210292147,4405.733612047215,4405.793136200854,4405.801061631673,4405.738158794657,4405.636159870733,4405.676352668151,4405.643327523448,4405.63440186999,4405.628976530592
0.25,0.0,0.0,4448.889612662732,4444.951577719693,4437.554713634177,4442.998535247886,4437.934008354867,4437.008757111211,4438.215698734194,4437.644848888439,4436.568042801228,4436.615468571069,4436.493087928908,4436.4426540912655,4436.401568095046,4436.32128441016,4436.316030628445
0.25,0.25,0.0,4445.920497098759,4441.762820792778,4438.865086836872,4439.1260335198685,4438.147686507894,4438.5951044468875,4437.959050585457,4437.688146405307,4437.598767102179,4437.0172814799935,4436.940522631374,4436.701791506348,4436.73215668645,4436.59560938247,4436.518371046681
0.25,0.5,0.0,4450.942352086515,4435.223784989783,4503.770957754823,4442.483819304337,4438.095689354232,4435.5510703206755,4436.084200747542,4435.038180001594,4435.158761238523,4435.11391066363,4434.953655087918,4434.991771537198,4435.0500506885855,4434.949914558376,4434.937048980967
0.25,0.75,0.0,4429.430267065907,4422.47048205077,4416.979582920885,4415.627569791669,4419.346773563461,4416.4235993769435,4415.22043913202,4415.117455688348,4415.271401693169,4415.094664520492,4415.133154410676,4415.0707562635325,4414.88532132286,4414.850851509095,4414.810374991568
0.25,1.0,0.0,4416.592266774263,4412.825767862628,4415.692473155464,4415.391753319946,4408.841599864869,4408.249865727706,4406.756388084554,4406.621614010483,4406.758030843883,4406.399468068006,4406.388098378964,4406.114403501285,4405.953515240887,4405.83672423193,4405.764348223264
0.5,0.0,0.0,4427.487135933138,4433.727281386574,4436.864436635501,4427.62713750992,4426.696374984395,4425.752538357643,4425.387393500334,4424.745884281876,4424.39800656781,4424.245387906488,4424.307019440731,4424.253088558184,4424.196597821172,4424.186979930106,4424.173610976304
0.5,0.25,0.0,4434.977137346174,4436.9314614691875,4428.74043320956,4418.511223249634,4428.655266938423,4430.910304216321,4435.572473477082,4421.070291749049,4434.461970957735,4419.625748491354,4428.223320238787,4430.022517443451,4436.693421503238,4427.399974206717,4418.494570988258
0.5,0.5,0.0,4440.585856520821,4434.767125077864,4442.79013373321,4437.783280694057,4439.700691890117,4437.287269285982,4447.520185804352,4437.659112316342,4435.781568065523,4433.356513979751,4434.027592657148,4433.00975181697,4432.942831921615,4433.010297598567,4433.056915131686
0.5,0.75,0.0,4435.047913239056,4427.451870651935,4452.339752154571,4429.231240614812,4425.217487798284,4424.5427211513015,4425.209711243632,4424.545842035274,4424.585610113537,4424.572062027453,4424.648862161598,4424.593596503053,4424.528719819101,4424.535478155734,4424.494073007702
0.5,1.0,0.0,4421.016490742026,4412.973131383057,4412.416929858771,4404.564472850228,4408.079563972002,4407.069676245531,4403.505345579669,4402.296522465854,4401.1737277786315,4400.681670113468,4400.3676103454945,4400.425193608445,4400.199129093027,4400.067584853896,4399.908351510096
